condition,method,param,side,n_clusters,hit,hit_low,hit_high,peak,peak_low,peak_high,covered95,covered95_low,covered95_high,error_cells,error_cells_low,error_cells_high,logloss,logloss_low,logloss_high,ece,ece_low,ece_high,gate_us_p50,gate_us_p50_low,gate_us_p50_high,gate_us_p95,gate_us_p95_low,gate_us_p95_high,utility,utility_low,utility_high
willing_0.6_none,none,1.0,8.0,10,0.11412367567439666,0.07927798320623944,0.14691884415692755,0.1191212601198018,0.09603811278288957,0.14042226123518667,0.9614583333333334,0.9390625000000001,0.9802213541666666,2.3291562402087416,2.0075433973095613,2.7002697342435136,3.14842884180974,2.973832472745428,3.3279790248883443,0.10204645406854027,0.08166176408977227,0.12386001266041795,2.2572625000000004,2.2218493749999997,2.3015865625000003,2.81118875,2.65401,3.01749571875,1.0,1.0,1.0
willing_0.6_random,random,0.5,8.0,10,0.07376497074653589,0.05005681059944454,0.0974704400106126,0.06997464507716729,0.057711395471513716,0.08351011119229147,0.9442708333333332,0.9119531249999999,0.9734505208333333,2.9400738949868037,2.6865628777086377,3.190366616775498,3.617435551315091,3.4491282593042087,3.7739568954885603,0.06921481335348607,0.054112885975515265,0.08570174406043372,2.221375,2.2031746875000002,2.2388781250000003,2.7016525,2.6108987187499997,2.8032554687499998,0.5196078431372549,0.45098039215686275,0.5984016393442623
willing_0.6_bsp,bsp,0.1,8.0,10,0.09033178123399897,0.06965118423829127,0.11197689577132934,0.06039550968639675,0.057090998106337575,0.06357093531546713,0.9546875,0.9265625,0.9776041666666668,2.7657436413187693,2.557865484413375,3.0016322712269674,3.5154065715002125,3.3994102401804516,3.642628866415553,0.08046862801031143,0.06505881309842665,0.0959457503322204,17.4973875,17.434361875,17.5640871875,19.305913750000002,18.799277437500002,19.857753562499997,0.5882352941176471,0.47822023567655425,0.6875538793103447
willing_1.0_none,none,1.0,8.0,10,0.19387526351500278,0.14538294366919158,0.2638177898598006,0.20285072369931859,0.180928977411795,0.22402532805311623,0.9682291666666666,0.9536458333333334,0.9822916666666666,1.6813058275534583,1.4686858007774906,1.880728842618279,2.6572040657585965,2.46774381404181,2.842012821978586,0.14438484298671977,0.11041430737703516,0.18922976395663563,2.2077875,2.19105,2.2249753125,2.6203525,2.5506499687499997,2.7020865624999995,1.0,1.0,1.0
willing_1.0_random,random,0.5,8.0,10,0.1084848988437805,0.07831684035720497,0.14385655757326635,0.10366342854749719,0.09143379194359763,0.1157026861291998,0.9661458333333334,0.9551953124999999,0.9765755208333335,2.322555906288521,2.20473499950395,2.435826544133776,3.250961655572109,3.1650360473819505,3.3337271720015225,0.10034719584093388,0.08341564620817501,0.12321239974051452,2.2312000000000003,2.2155871875,2.2473015625,2.6557799999999996,2.590047,2.7233264687500003,0.48,0.4309370224520983,0.5380124904652936
willing_1.0_bsp,bsp,0.1,8.0,10,0.06270276131005717,0.043194254286441,0.08036507159374866,0.0731285294219127,0.07113697696251747,0.07552190995894134,0.9734374999999998,0.9625,0.9848958333333334,2.5947517592425515,2.3572993081726925,2.87912184191158,3.2705474585291308,3.152685894927651,3.3714118558592014,0.06607784151860119,0.053924566031295335,0.07882796034158866,17.3656875,17.28593625,17.450123437499997,18.75769875,18.443403,19.087982937499998,0.4685714285714286,0.4111094069529652,0.5384969325153374
on_time_0.5_none,none,1.0,8.0,10,0.09836999348262004,0.07328913743592491,0.12452705043705566,0.09428310017570704,0.0801226026799557,0.10770525355891843,0.9697916666666666,0.9484375,0.9864713541666668,2.5234521839404143,2.291837330269566,2.81245907053514,3.303025415332219,3.1993667142778466,3.4031697710880837,0.08902121087890703,0.07388535365059115,0.10414462659823999,2.21145,2.2015621875,2.22143375,2.5935637499999995,2.56121953125,2.62802403125,1.0,1.0,1.0
on_time_0.5_random,random,0.5,8.0,10,0.06651671625218766,0.036750824627975597,0.09803697339326756,0.058885036072304095,0.04551154197614351,0.07303499753156471,0.9796875,0.9677083333333334,0.9901041666666666,3.173042428873631,2.9404988304161264,3.4283308321862775,3.652582781385097,3.5145540281336625,3.7843226840310917,0.06258154785494226,0.04472746255906947,0.08741197812523586,2.2156875000000005,2.1978696875,2.2359628125000004,2.6894,2.59144609375,2.7877890312499995,0.5,0.42306338028169016,0.5866875
on_time_0.5_bsp,bsp,0.1,8.0,10,0.04898066309577146,0.025811612568204367,0.0808989340526127,0.051297399320754646,0.04715075768604642,0.055127316724706804,0.9848958333333334,0.9770833333333334,0.9921874999999998,2.980611902274539,2.8360915601782137,3.165384254685999,3.580438251100096,3.5313566439502666,3.634775073106147,0.05844541709021511,0.043592087272922714,0.07856669864159233,17.4344875,17.355325,17.54763875,18.6408625,18.36709134375,19.059568531249997,0.65,0.5312263257575758,0.75
on_time_0.7_none,none,1.0,8.0,10,0.11901486279469384,0.0760515759467058,0.17144691140536328,0.12257611326760014,0.10412857637183456,0.14046033311727124,0.9682291666666666,0.9505078124999999,0.9848958333333332,2.2409920102582257,1.9525552635830743,2.517579740421197,3.077866062981013,2.935564358768382,3.2245147607412337,0.10810792915687288,0.08122493193835426,0.14401222728725258,2.259325,2.2119121875,2.3113500000000005,2.77625625,2.6306946875,2.9326078437499996,1.0,1.0,1.0
on_time_0.7_random,random,0.5,8.0,10,0.07164941413879179,0.04975249571508236,0.09783411103787577,0.06678270324606905,0.05356779165359291,0.08139125389988443,0.9635416666666666,0.946875,0.9802083333333332,2.960545268267126,2.736484465105564,3.1623159790341058,3.6229082808082254,3.5016237239940944,3.7377072141045273,0.07260915451478797,0.05445061430923996,0.09331661982403879,2.3673125,2.3505990625,2.3844628125000003,3.0186425,2.9048012812499997,3.1484683124999995,0.5,0.439989010989011,0.5535935289957568
on_time_0.7_bsp,bsp,0.1,8.0,10,0.08999411795688257,0.06551754091428517,0.11508227899502235,0.06081167615365688,0.058963110024402784,0.0628637777895583,0.9645833333333332,0.9499869791666665,0.9791666666666666,2.759232572325264,2.4702538838172443,3.1071889844910983,3.4478860855715796,3.368863448147864,3.546753795391663,0.0752584325423354,0.058764560087330726,0.09234786875158218,17.93175,17.6655853125,18.1724528125,20.74820875,19.539206375000003,22.135604375,0.5925925925925926,0.50812066925807,0.6730921052631579
on_time_1.0_none,none,1.0,8.0,10,0.20803385582945935,0.1564519643683122,0.2687430591130791,0.18289353991178367,0.15272844630526122,0.21318574639031976,0.9744791666666666,0.9583333333333334,0.9869791666666667,1.8179030301508905,1.5788767523317042,2.038463223278731,2.754708429192246,2.5762359515411593,2.9561882466371916,0.12874452253572544,0.10594498414910895,0.16097266364172216,2.2176875000000003,2.1948475000000003,2.2447746875,2.63409125,2.539078125,2.7684664687500002,1.0,1.0,1.0
on_time_1.0_random,random,0.5,8.0,10,0.10582816218472732,0.08664005590389724,0.12746679715619083,0.0934697272703845,0.07824886498081723,0.10956728941514914,0.9697916666666666,0.9546875,0.9843749999999998,2.5847414064993397,2.474263861121559,2.7014942785111575,3.3614855335596006,3.2743691415277856,3.447460458501123,0.08808504473408554,0.07541116886608068,0.1058236220721525,2.2124625,2.196838125,2.2291859375,2.63770125,2.5782925312500002,2.7070287499999997,0.49032258064516127,0.4534865665174057,0.5323980815347722
on_time_1.0_bsp,bsp,0.1,8.0,10,0.08753256041720003,0.04239929338811017,0.14405968042371373,0.07144670178223378,0.06865683626182464,0.07429877968655457,0.9552083333333332,0.9343750000000002,0.9744791666666668,2.67154229902287,2.3371442152083466,2.9885167502305334,3.3092282426674737,3.1933070744076475,3.414286409599644,0.08492009396935843,0.05556347637860057,0.1250419159494921,17.545237499999995,17.500500000000002,17.5963290625,19.523088750000003,19.032732531249998,20.048809812499996,0.4967741935483871,0.37983788830419285,0.5944227551589514
alpha_model_0.3_none,none,1.0,8.0,10,0.16942962251099908,0.12238035949650926,0.217405709555316,0.1400872013522145,0.11487235491516908,0.16354686733994345,0.975,0.9609375,0.9875,1.8544811673595234,1.631495703914961,2.0597676014568647,2.9179207255903576,2.746074086166101,3.12035041837737,0.13413436311141105,0.10635498588920514,0.16318502487771072,2.2036625,2.1911125,2.2157128124999996,2.5835725,2.5351434999999998,2.6312806562499995,1.0,1.0,1.0
alpha_model_0.3_random,random,0.5,8.0,10,0.08530702822609339,0.05447320021831835,0.11278461137792811,0.08204250889340389,0.06517111423195658,0.09927299555028013,0.9677083333333334,0.95,0.9854166666666666,2.7471920502545895,2.5361035379012864,2.942612268384028,3.4445326876327322,3.348914777160425,3.5621983841114426,0.08480944885274479,0.06313952037215564,0.10499446009082324,2.2250375,2.2057490625,2.2547634375,2.6394124999999997,2.54308846875,2.78378390625,0.4782608695652174,0.4260766745005875,0.529802560047445
alpha_model_0.3_bsp,bsp,0.1,8.0,10,0.06637318955079792,0.039840003864414,0.09478955765669,0.05876879653105127,0.054880615395960564,0.06289779276964898,0.965625,0.9494661458333333,0.9822916666666666,2.491158944354642,2.2517329050138786,2.7887889582378014,3.3911596362943905,3.2688353264417818,3.508673217124611,0.05693488634375212,0.037244082265511416,0.08065837559507484,17.44325,17.365149375000005,17.539712499999997,20.151991250000002,18.731064500000002,22.697755093749997,0.572463768115942,0.4473412353197042,0.68
alpha_model_0.9_none,none,1.0,8.0,10,0.1410568133178774,0.10986645069670949,0.18446916795053733,0.19634682821729382,0.1769617087572754,0.21654661760320496,0.9135416666666668,0.8864583333333333,0.9380208333333334,2.066470955825306,1.8150453039806347,2.287492731064466,3.0517933314140584,2.8464287727865836,3.231198566310439,0.12385144808198209,0.1108102959407231,0.13849155148601489,2.2422125,2.2218765625000003,2.27092375,2.6174124999999995,2.55166096875,2.7093002499999996,1.0,1.0,1.0
alpha_model_0.9_random,random,0.5,8.0,10,0.08958982945013101,0.061808910679048014,0.11853725399828009,0.09319440074378259,0.0824615120475913,0.1067525877748424,0.9604166666666668,0.9432291666666668,0.975,2.687814567647448,2.4546768273345254,2.9167139808322906,3.4216859166313895,3.318321302259693,3.51100309007323,0.0789685793629311,0.0676245665669438,0.08874537181497984,2.2120625,2.1979018750000003,2.2266006250000006,2.62902625,2.5747595624999997,2.6837914374999996,0.4782608695652174,0.4260766745005875,0.529802560047445
alpha_model_0.9_bsp,bsp,0.1,8.0,10,0.053481084910646404,0.02580100311079,0.09108715470290098,0.07350092533285701,0.07149112415223491,0.07528549115965957,0.9229166666666666,0.8968619791666665,0.946875,2.9821693726662644,2.780156600942259,3.2026153845694267,3.5395777900737757,3.447189773538762,3.643683175555716,0.0732050132189119,0.059757548480204495,0.09621821121978687,17.545825,17.477037499999998,17.6489290625,19.02847625,18.71197853125,19.47275328125,0.427536231884058,0.34644912174439735,0.4962419938735728
move_model_0.05_none,none,1.0,8.0,10,0.14880601191411547,0.10265330312308714,0.19214997863778382,0.294811608892915,0.25001185706255274,0.3402573155887388,0.8145833333333334,0.7890625,0.8385416666666666,1.9284125033786967,1.7305756470068223,2.126786361381221,3.292406899328788,3.0676310990278033,3.494947289932527,0.21908460016063774,0.18626313286518542,0.25889069117067526,2.1989625,2.184475,2.2150259374999997,2.6047037499999997,2.5250721250000003,2.69461625,1.0,1.0,1.0
move_model_0.05_random,random,0.5,8.0,10,0.0784524707465359,0.060108891368073965,0.10020146835662544,0.15172360330719675,0.11882480397910579,0.18542839577247064,0.8432291666666668,0.8088151041666667,0.8833333333333332,2.7547762370042066,2.5918654599817037,2.9240295343781812,3.7944976806017756,3.670539017696837,3.91581350486649,0.12943448557516796,0.1040266601892787,0.1562272932318255,2.2333624999999997,2.216675,2.2489384375,2.648575,2.5766529999999994,2.73275034375,0.4782608695652174,0.4260766745005875,0.529802560047445
move_model_0.05_bsp,bsp,0.1,8.0,10,0.04761306223598311,0.03373206610223054,0.060382583360335064,0.07716136859251609,0.07474462707788983,0.07976864314608353,0.8567708333333334,0.8229166666666667,0.8875,3.151254109114326,2.8632992375587274,3.448591505507774,3.674477976683206,3.5227406305111404,3.8147799435723204,0.062790198457566,0.04915174068096555,0.07790915860921369,17.386375,17.338375625,17.438462812499996,19.09926125,18.6653779375,19.538560718750002,0.47101449275362317,0.3412698412698413,0.5898387096774192
move_model_0.8_none,none,1.0,8.0,10,0.1629336160807821,0.13179821526540925,0.1955009499300178,0.09510770242072883,0.08307942472858965,0.1071038084156564,0.9895833333333334,0.9817708333333334,0.9963541666666667,2.0327361572597438,1.873866927945458,2.19798119137282,3.0591006687706592,2.9370599130775643,3.1770534209526953,0.12131860794136964,0.09954686764479077,0.1416527473670504,2.2401125,2.216614375,2.2677625,2.72522625,2.6117564062500005,2.8592319374999993,1.0,1.0,1.0
move_model_0.8_random,random,0.5,8.0,10,0.09303580407986922,0.06724274786959906,0.1238106191053795,0.057393032579144944,0.05027300273338765,0.06435990927023717,0.9859375,0.9770703124999999,0.9942708333333334,2.798052333328581,2.5416751593839013,3.0835110937821675,3.524343910986574,3.414466573214282,3.621641032057922,0.07541959608295247,0.05684616263935011,0.0958955147856962,2.3104875,2.2578725,2.3553131250000003,2.81659625,2.68534053125,2.9668499062499993,0.4782608695652174,0.4260766745005875,0.529802560047445
move_model_0.8_bsp,bsp,0.1,8.0,10,0.0881975200958316,0.06240533371787309,0.11441185102513227,0.05630565000061154,0.053690202452047905,0.058517140206723633,0.9880208333333332,0.98125,0.9942708333333332,2.6682554778987457,2.434910151804451,2.908366803678928,3.421802403050512,3.379733692451811,3.466493487337657,0.0787251853097923,0.059721750184718814,0.10058371192648558,18.123912499999996,18.053014062500004,18.181676250000002,19.5244675,19.315578218749998,19.78436565625,0.5507246376811594,0.43661331626120353,0.6518778696051424
legitimate_fraction_0.5_none,none,1.0,8.0,10,0.21769484492772534,0.1825814524600578,0.25746226627141944,0.2101936136320517,0.18933524471975793,0.23611982424998834,0.9697916666666666,0.9536458333333332,0.9828125,1.5795340429053837,1.4372683336408718,1.7330843917312244,2.6191989984867052,2.5016733486098994,2.722036738417827,0.1300030864333991,0.11167928643480425,0.15116572580952892,2.2334125,2.2021265625,2.2792499999999998,2.72016875,2.541336875,3.0421175937499996,1.0,1.0,1.0
legitimate_fraction_0.5_random,random,0.5,8.0,10,0.09285563702126563,0.07328840109567528,0.11125531947850338,0.094959919594008,0.08405001506784673,0.10514359220566338,0.9619791666666668,0.9426953124999999,0.9786458333333332,2.534030174091923,2.301021283367478,2.7698911326325653,3.3177738186729755,3.2464777098291866,3.3802071365841058,0.08211356465982611,0.07502848056902953,0.08960381347688609,2.2015625,2.1911265625,2.2140125,2.5743424999999998,2.5215298749999997,2.63309415625,0.45555555555555555,0.40775800071916574,0.5106501182033096
legitimate_fraction_0.5_bsp,bsp,0.1,8.0,10,0.07284487123842592,0.0386274142795139,0.11489568865740739,0.07980124752253749,0.07798972714421451,0.08184397387839808,0.9666666666666666,0.9458333333333334,0.9854166666666666,2.5302072267842113,2.2450069921707865,2.857852836272727,3.203829160845264,3.0923255398726974,3.3242736415804215,0.07516963112412296,0.059862557514243596,0.09696227734336874,17.269825,17.186939687500004,17.363135937500005,18.801285,18.192406374999997,19.506740031249997,0.4222222222222222,0.2673102310231023,0.5618485536696151
legitimate_fraction_0.9_none,none,1.0,8.0,10,0.13411459427219488,0.09769740660263673,0.1809782574925857,0.13516202738872643,0.11337385999519442,0.15891049522430215,0.9682291666666666,0.9531249999999998,0.9828125,2.3100842951474085,1.9800176668437826,2.658949842591348,3.0737504995562093,2.8809268314999033,3.256637948881776,0.12212414769229145,0.10350110850739916,0.14327963667574956,2.2765499999999994,2.2172,2.370325625,3.15453625,2.7235453437499992,3.8831458124999996,1.0,1.0,1.0
legitimate_fraction_0.9_random,random,0.5,8.0,10,0.07504894959758995,0.051935306017182395,0.09761287827609945,0.07966033423278876,0.0633810376480103,0.09913530915944573,0.9703124999999998,0.9567708333333332,0.9843749999999998,3.042105211279247,2.739190151252989,3.384905761835546,3.5422716885924084,3.4188073335315834,3.6461301644290307,0.07262996296175125,0.059164029433057735,0.08438628932660767,2.203575,2.1765368749999996,2.2280371874999996,2.6786274999999997,2.5998904687499995,2.7541847500000003,0.4853801169590643,0.4303345388788427,0.539893881611673
